药材,别名,性味归经,功用,症状,药材分类,用法用量,注意事项
南瓜子,南瓜仁、白瓜子、金瓜米、窝瓜子、倭瓜子,味甘，性平；归胃、大肠经,,1、绦虫病：本品甘平，杀虫而不伤正气，用治绦虫病。 2、南瓜子亦可用治血吸虫病，但须较大剂量（120-200g），长期服用。,植物,内服：研粉，60-120g。冷开水调服。,
夏天无,一粒金丹、洞里神仙、野延胡、飞来牡丹、伏地延胡索、落水珠,味苦、微辛，性温；归肝经,活血通络，行气止痛，祛风除湿。,1、中风半身不遂，跌仆损伤，肝阳头痛：本品既能活血通络，又能行气止痛，且有一定的平抑肝阳的作用，用于治疗中风偏瘫、手足不遂及肝阳上亢引起的头痛、头晕。  2、风湿痹痛，关节拘挛：本品既能舒筋通络，又能祛风除湿。,植物,内服：煎服，5-15g。或研末服，1-3g。亦可制成丸剂使用。,尚不明确。
珍珠母,珠牡、珠母、真珠母、明珠母,味咸，性寒；归肝、心经,平肝潜阳，清肝明目，镇心安神。,主要用于肝阳上亢、头晕目眩、目赤肿痛、视物昏花、惊悸失眠、心神不宁、癫痫、惊风抽搐、吐血、衄血；外用于湿疮瘙痒、疮疡久不收口、口疮等。煅后研末吞服，治疗胃酸过多、胃脘疼痛。 ,动物,内服：煎汤，10-30g，打碎先煎；右研末，每次1.5-3g；或入丸、散。,珍珠母咸寒，属于沉降之品，故脾胃虚寒、气虚下陷者慎用；孕妇慎用。
杏子,杏实,味酸、甘，性温；归肺、心经,润肺定喘，生津止渴。,肺燥咳嗽，津伤口渴。,植物,内服：煎汤，6-12g，或生食，或晒干为脯，适量。,不宜多食。
枳椇子,木蜜、树蜜、木饧、白石木子、蜜屈律、鸡距子、癞汉指头、背洪子、兼穹拐枣、天藤、还阳藤、木珊瑚、鸡爪子、鸡橘子、结留子、曹公爪、棘枸、白石枣、万寿果、鸡爪梨、甜半夜、龙爪、碧久子、金钩钩、酸枣、鸡爪果,味甘、酸，性平；归脾经,利水消肿，解酒毒。,1、水肿证：本品通利二便而消肿。  2、酒醉：本品善解酒毒，清胸膈之热。,植物,内服：煎服，10-15g。,脾胃虚寒者慎用。
蔓荆子,蔓荆实、荆子、万荆子、蔓青子、蔓荆、白背木耳、小刀豆藤、白背风、白背草,味辛、苦，性微寒；归肺、膀胱、肝经,疏散风热，清利头目。,1、风热感冒，头昏头痛：本品辛能散风，微寒清热，轻浮上行，解表之力较弱，偏于清利头目、疏散头面之邪。  2、目赤肿痛，耳鸣耳聋：本品辛散苦泄微寒，功能疏散风热，清利头目。  3、取本品祛风止痛之功，也可用治风湿痹痛，每与羌活、独活、川芎、防风等同用，如羌活胜湿汤（《内外伤辨惑论》）。 ,植物,内服：煎服，5-9g。,血虚有火之头痛目眩及胃虚者慎服。
地黄,怀地黄,鲜地黄：味甘、苦，性寒；生地黄：味甘，性寒,1、鲜地黄：清热生津，凉血，止血。,1、鲜地黄：用于热病伤阴，舌绛烦渴，温毒发斑，吐血，衄血，咽喉肿痛。  2、生地黄：用于热入营血，温毒发斑，吐血衄血，热病伤阴，舌绛烦渴，津伤便秘，阴虚发热，骨蒸劳热，内热消渴。,无毒,1、鲜地黄：12～30g。 2、干地黄：10～15g。,脾虚湿滞，腹满便溏者不宜使用。
红花,红蓝花、刺红花、草红花,河南、湖北、四川、云南、浙江,活血通经，散瘀止痛。,主要用于血滞经闭、痛经，产后瘀滞腹痛，癥瘕积聚，胸痹心痛，血瘀腹痛，胁痛，跌打损伤，瘀滞肿痛，瘀滞斑疹色暗。 ,味辛，性温，归心、肝经,内服：煎汤，3-10g。养血和血宜少用；活血祛瘀宜多用。,孕妇及月经过多者禁服。
透骨香,透骨草、满山香、搜山虎、煤炭子、煤炭果、万里香、九里香、芳香草、满天香、透骨消、小透骨草、九木香、鸡骨香（广东）,味辛，性温,,风湿痹痛，胃寒疼痛，跌打损伤，咳嗽多痰。,植物,内服：煎汤，9-15g，鲜品30g；或浸酒。外用：适量，煎水洗；或浸酒擦；或捣敷。,1、《云南中草药》：“忌酸冷、鱼腥、荞面。”
香叶,香艾,味辛，性温,祛风除湿，行气止痛，杀虫。,风湿痹痛，疝气，阴囊湿疹，疥癣。,植物,内服：煎汤，9-15g，鲜品30-45g；或泡酒。外用：适量，煎水洗，或捣烂敷。,
仙鹤草,鹤草芽、龙牙草、施州龙牙草、瓜香草、黄龙尾、铁胡蜂、金顶龙芽、老鹳嘴、子母草、毛脚茵、黄龙牙、草龙牙、地椒、黄花草、蛇疙瘩、龙头草、寸八节、过路黄、毛脚鸡、杰里花、线麻子花、脱力草、刀口药、大毛药、地,味苦、涩，性平；归心、肝经,收敛止血，止痢，截疟，补虚。,主治各种出血证，久泻久痢，寒热疟疾，气血亏虚脱力劳伤等。 ,植物,内服：煎汤，10-15g，大剂量可用30g；或入散剂。外用：捣敷；或熬膏涂敷。,服后可引起心悸、颜面充血与潮红等现象。
黑顺片,黑附子,味辛、甘，性大热；归心、肾、脾经,回阳救逆，补火助阳，逐风寒湿邪。,主治亡阳虚脱，肢冷脉微，阳痿，宫冷，心腹冷痛，虚寒吐泻，阴寒水肿，阳虚外感，寒湿痹痛。,有毒,先煎，久煎，3-15g。,本品不宜与半夏、瓜蒌、瓜萎子、瓜蒌皮、天花粉、川贝母、浙贝母、平贝母、伊贝母、湖北贝母、白蔹、白及同用。
冰球子,山慈姑、山兰、比摇扁,味甜、苦，性冷；入热经,清热解毒，消肿散结。,痈疽恶疮，瘰疬结核，咽痛喉痹，蛇、虫咬伤。,植物,1、内服：煎汤，3-6g；或磨汁；或入丸、散。 2、外用：适量，磨汁涂；或研末调敷。,正虚体弱者慎服。
皂角刺,皂荚刺、皂刺、天丁,味辛，性温，归肝、胃经,消肿托毒，排脓，杀虫。,用于痈疽初起或脓成不溃；外治疥癣麻风。,植物,3-10g。外用适量，醋蒸取汁涂患处。,痈疽已溃者忌用。
牵牛子,草金铃、金铃、黑牵牛、白牵牛、黑丑、白丑、二丑,味苦、性寒；归肺、肾、大肠经,泻下逐水，去积杀虫。,主治水肿，膨胀，痰饮喘咳，虫积腹痛。 ,有毒,内服：煎服，3-9g。入丸、散剂，每次1.5-3g。炒用药性减缓。,孕妇忌用。不宜与巴豆、巴豆霜同用。
清半夏,半夏,味辛，性温。归脾、胃、肺经。,温中化痰。,痰湿咳嗽，胃脘痞满，痰涎凝聚，咳吐不出。,植物,用量3-9g。,不宜与乌头类药材同用。
鹧鸪,隋阳、越雉、逐隐、怀南、山鸪、钩辀、格磔、越鸟、中国鹧鸪、花鸡,味甘，性温。入脾、胃、心经,滋养补虚，开胃化痰。,体虚乏力，失眠，胃病，下痢，小儿疳积，咳嗽痰多，百日咳。,无毒《新修本草》,内服：炖熟，1-2只。,不可与竹笋同食，令人小腹胀。
枇杷叶,巴叶、芦桔叶,味苦，性微寒；归肺、胃经,清肺止咳，降逆止呕。,1、肺热咳嗽，气逆喘急：本品味苦能降，性寒能清，具有清降肺气之功。  2、胃热呕吐，哕逆：本品能清胃热，降胃气而止呕吐、呃逆。,植物,内服：煎服，5-10g。止咳宜炙用，止呕宜生用。,入汤剂，需包煎。胃寒呕吐及风寒咳嗽证禁服。
天冬,AsparagiRadix,华东、中南、西南及河北、山西、陕西、甘肃、台湾等地,养阴润燥，清肺生津。,1、肺阴虚证：本品甘润苦寒之性较强，其养肺阴、清肺热的作用强于麦冬、玉竹等同类药物。  2、肾阴虚证：本品能滋肾阴，兼能降虚火，适宜于肾阴亏虚之眩晕、耳鸣、腰膝酸痛及阴虚火旺之骨蒸潮热，内热消渴等证。  3、热病伤津之食欲不振、口渴及肠燥便秘：本品还有一定益胃生津作用，兼能清胃热，可用于热伤胃津之证。,甘、苦，寒；归肺、肾、胃经,煎服，6-12g。,脾虚便溏、虚寒泄泻及风寒咳嗽者忌服。
藜芦,葱苒、葱葵、山葱、丰芦、蕙葵、公苒、葱菼、梨卢、葱白藜芦、鹿葱、憨葱、葱芦、葱管藜芦、旱葱、人头发、毒药草、七厘丹,味辛、苦，性寒；归肝、肺、胃经,涌吐风痰，杀虫疗癣。,1、主要用于中风癫痫，喉痹不通，疥癣秃疮等。  2、西医诊为脑出血、脑梗死、精神分裂症、急性咽炎属于痰浊壅塞者，寻常疣属于湿毒蕴结者。,有毒,内服：入丸、散，0.3-0.6g。外用：适量，研末，油或水调涂。,1、体虚气弱者及孕妇禁服。反细辛、芍药、人参、沙参、丹参、玄参、苦参。服之吐不止，可饮葱汤解。
苏合香,帝膏、苏合油、苏合香油、帝油流,味辛，性温；归心、脾经,开窍醒神，辟秽，止痛。,主要用于寒闭神昏，胸腹冷痛、满闷，冻疮等。,植物,内服：研末服，0.3-1g。入丸、散，不入煎剂。外用：适量，溶于乙醇或制成软膏、搽剂涂敷。,1、性温，凡外感风热或温热、实热内炽，阴虚火旺、血虚血热等证，忌单味药服用。
薄荷,蕃荷菜、南薄荷、猫儿薄苛、野薄荷、升阳菜、薄苛、萎荷、夜息花、仁丹草、见肿消、水益母、接骨草、土薄荷、鱼香草、香薷草,味辛，性凉；归肺、肝经,疏散风热，清利头目，利咽透疹，疏肝行气。,1、风热感冒，温病初起：用治风热感冒或温病初起、邪在卫分，发热、微恶风寒、头痛等症。  2、风热头痛，目赤多泪，咽喉肿痛：本品轻扬升浮，芳香通窍，功善疏散上焦风热，清头目、利咽喉。  3、麻疹不透，风疹瘙痒：本品质轻宣散，有疏散风热、宣毒透疹、祛风止痒之功。  4、肝郁气滞，胸闷胁痛：本品兼入肝经，能疏肝行气。  5、本品芳香辟秽，兼能化湿和中，还可用治夏令感受暑湿秽浊之气，脘腹胀痛，呕吐泄泻。 ,植物,1、内服：煎汤，3-6g，不可久煎，宜作后下；或入丸、散。外用：煎水先或捣汁涂敷。 2、薄荷叶长于发汗解表，薄荷梗偏于行气和中。,本品芳香辛散，发汗耗气，故体虚多汗者不宜使用。
百部,百部根、白并、玉箫、箭杆、嗽药、百条根、野天门冬、百奶、九丛根、九虫根、一窝虎、九十九条根、山百根、牛虱鬼、药虱药,味甘、苦，性微温；归肺经,润肺止咳，杀虫灭虱。,主要用于新久咳嗽，百日咳，肺痨咳嗽，蛲虫、阴道滴虫，头虱及疥癣等。,植物,内服：煎汤，3-10g；外用：煎水洗；或研末外敷；或浸酒涂擦。,脾胃虚弱者慎服。
制川乌,味辛、苦，性热。心、肝、肾、脾经,有毒,祛风除湿，温经止痛。,用于风寒湿痹，关节冷痛，寒疝作痛及麻醉止痛。,植物,1.5～3g，先煎、久煎。,生品内服宜慎，酒浸、酒煎服易致中毒，应慎用。
羌活,羌青、护羌使者、胡王使者、羌滑、退风使者、黑药,味辛、苦，性温；归膀胱、肾经,解表散寒，祛风胜湿，止痛。,1、风寒感冒：本品辛温发散，气味雄烈，善于升散发表，有较强的解表散寒，祛风胜湿，止痛之功。  2、风寒湿痹：本品辛散祛风、味苦燥湿、性温散寒，有较强的祛风湿，止痛作用，常与其他祛风湿、止痛药配伍，主治风寒湿痹，肢节疼痛。 ,植物,内服：煎汤，3-10g；或入丸、散。,1、性温，多用久服易助热伤阴，诱发或加重热性病症，凡外感风热或温热、内热炽盛、阴虚火旺者不宜单味药服用；肾癌患者忌用。
麻叶,火麻叶、火麻头,味辛,止痛，定喘，驱蛔。,气喘，跌扑疼痛，蛔虫病。,有毒,内服：0.2-1.5g，捣汁；或入丸、散。外用：捣敷。,麻叶有毒，内服宜慎。多食会引起中毒反应，开始出现头昏、头痛、心烦、上腹部不适、心悸、全身发麻、舌及口周有麻木增厚迟钝感，继而口唇有紧束感、心悸加重、联想力减弱，重者意识模糊、昏睡或昏迷。
乌鸦,鸦乌（《小尔雅》），鸦、楚乌（《说文》），鹎乌（《尔雅》郭璞注），巨喙乌（《禽经》），黑老鸦（《滇南本草》），老鸦（《痘疹》）,味酸、涩，性平。入肝、肾、肺经,祛风定痫，滋阴止血。,头风眩晕，小儿风痫，肺痨咳嗽，吐血。,动物,内服：煎汤，1只；或焙研，入丸、散。外用：适量，煅研调敷。,孕妇不宜用。
蝉蜕,蜩甲、蝉壳、伏壳、枯蝉、蝉甲、蝉退壳、金牛儿、蝉退、蝉脱、蝉衣、催米虫壳、唧唧猴皮、唧唧皮、知了皮、热皮、麻儿鸟皮,味甘、咸，性凉；归肺、肝经,疏散风热，利咽开音，透疹，明目退翳，息风止痉。,主要用于风热感冒，温病初起，咽痛喑哑，麻疹不透，风疹瘙痒，目赤翳障，急慢惊风，破伤风等。 ,动物,内服：煎服，3-6g，或入丸、散。外用：煎水洗；或研末调敷。,孕妇慎用。
赶黄草,扯根菜、山黄鳝、水杨柳、水泽兰,甘，温。归肝、肾经,利水除湿，祛瘀止痛。,用于黄疸，水肿，跌打损伤，肿痛。,植物,15-30g。外用：适量，捣烂敷患处。,
竹鸡,山菌子、鸡头鹘、泥滑滑、竹鹧鸪,味甘，性平，归脾、肝经,补中益气，杀虫解毒。,用于脾胃虚弱，消化不良，大便溏泄，痔疮。,有毒（《食物考》）,内服：1只，煮食；或炙食。,《食物考》：“烹宜用姜。竹鸡有毒，宜生姜解之。”
瓦楞子,蚶壳、瓦屋子、瓦垄子、蚶子壳、花蚬壳、瓦垄蛤皮、血蛤皮、毛蚶皮,味咸，性平；归肺、胃、肝经,消痰软坚，化瘀散结，制酸止痛。,1、瘰疬，瘿瘤：本品咸能软坚，消痰散结。  2、癥瘕痞块：本品既能消痰，又能化瘀，有化瘀散结之功。,动物,内服：煎服，10-15g，宜打碎先煎。研末服，每次1-3g。生用消痰散结；煅用制酸止痛。,《本草用法研究》：“无瘀血痰积者勿用。”
黄药子,黄药、黄药根、苦药子、山慈姑、金线吊虾蟆、红药子、黄独根、苦卡拉、蓑衣包、黄狗子、猴姜七、毛卵砣、金线吊葫芦、金线吊蛋、黄金山药、薯瓜乳藤、铁秤砣、狗嗽、土芋,味苦，性寒；归肺、肝经,化痰散结消瘿，清热解毒。,1、瘿瘤：本品能化痰软坚，散结消瘿。  2、疮疡肿毒，咽喉肿痛，毒蛇咬伤：本品能清热解毒，可单用或配其他清热解毒药同用。  3、本品还有凉血止血作用，可用于血热引起的吐血，衄血，咯血等；兼有止咳平喘作用，亦可治咳嗽、气喘、百日咳等。,有毒,内服：煎服，5-15g；研末服，1-2g。外用：适量鲜品捣敷，或研末调敷，或磨汁涂。,内服剂量不宜过大。
制马钱子,番木鳖、苦实把豆儿、火失刻把都、苦实、马前、马前子、牛银,味苦，性寒；归肝、脾经,散结消肿，通络止痛。,1、跌打损伤，骨折肿痛：本品善散结消肿止痛，为伤科疗伤止痛之佳品。  2、痈疽疮毒，咽喉肿痛：本品苦泄有毒，能散结消肿，攻毒止痛。治痈疽疮毒，多作外用，单用即效。  3、风湿顽痹，麻木瘫痪：本品善能搜筋骨间风湿，开通经络，透达关节，止痛力强。 ,有大毒,内服：0.3-0.6g，炮制后入丸散用。外用：适量，研末调涂。,内服不宜生用及多服久服。本品所含有毒成分能被皮肤吸收，故外用亦不宜大面积涂敷。孕妇禁用，体虚者忌用。
油茶,油茶树、茶子树,油茶子：味甘、苦，性温；油茶叶：味微苦，性平；油茶花：味苦，性微寒；油茶根：味苦，性平,油茶子：润燥，滑肠，杀虫。,油茶子：大便秘结，蛔虫，钩虫，疥癣。  油茶叶：鼻衄，皮肤溃烂瘙痒，疮疽。  油茶花：吐血，咳血，衄血，便血，子宫出血，烫伤。  油茶根：咽喉肿痛，胃痛，牙痛，跌打伤痛，水火烫伤。,油茶根：有小毒,油茶子：内服时，煎汤，6-10g；或入丸、散。外用时，煎水洗或研末调涂。 油茶叶：内服时，煎汤，15-30g。外用时，煎汤洗，或鲜品捣敷。 油茶花：内服时，煎汤，3-10g。外用时，研末，麻油调敷。 油茶根：内服时，煎汤，15-30g。外用时，研末或烧灰研末，调敷。,
杏仁,杏核仁、杏子、木落子、苦杏仁、杏梅仁,味苦，性微温；归肺、大肠经,止咳平喘，润肠通便。,1、咳嗽气喘：本品味苦微温，以苦泄润降为主，善肃降兼宣发肺气而能止咳平喘。  2、肠燥便秘：苦杏仁质润多脂，又能润肠通便。,植物,1、煎服，3-10g，宜打碎入煎。或入丸、散剂。 2、阴虚咳喘及大便溏泄者忌用。有小毒，用量不宜过大；婴儿慎用 。,
五倍子,盐麸叶上球子、文蛤、百虫仓、木附子、漆倍子、红叶桃、旱倍子、乌盐泡,味酸、涩，性寒；归肺、大肠、肾经,敛肺降火，止咳止汗，涩肠止泻，固精止遗，收敛止血，收湿敛疮。,1、咳嗽，咯血：本品酸涩收敛，性寒清降，入于肺经，既能敛肺止咳，又能清肺降火，适用于久咳及肺热咳嗽。  2、自汗，盗汗：本品功能敛肺止汗。  3、久泻，久痢：本品酸涩入大肠，有涩肠止泻之功。  4、遗精，滑精：本品入肾，又能涩精止遗。  5、崩漏，便血痔血：本品有收敛止血作用。  6、湿疮，肿毒：本品外用能收湿敛疮，且有解毒消肿之功。,植物,内服：煎服，3-9g；入丸、散服，每次1-1.5g。外用：适量。研末外敷或煎汤熏洗。,外感风寒或肺有实热之咳嗽及积滞未清之泻痢忌服。
淡竹叶,竹叶门冬青、迷身草、山鸡米、金竹叶、长竹叶、山冬、地竹、淡竹米、林下竹,味甘、淡，性寒；归心、胃、小肠经,清热泻火，除烦，利尿。,1、热病烦渴：本品甘寒，主归心经能清心火以除烦，入胃经而泄胃火以止渴。治热病伤津，心烦口渴。  2、口疮尿赤，热淋涩痛：本品性寒能清泻心胃实火，甘淡能渗湿利尿，治心、胃火盛，口舌生疮及移热小肠热淋涩痛。 ,植物,内服：煎服，6-9g。,无实火、湿热者慎服，体虚有寒者禁服。
自然铜,石髓铅、方块铜,味辛，性平；归肝经,散瘀止痛，续筋接骨。,用于跌打损伤，筋骨折伤，瘀肿疼痛。 ,矿物,内服：煎汤，10-15g；或入散剂，每次0.3g。外用：研末调敷。,自然铜为行血散瘀之品，不宜久服。功善活血散瘀，消肿止痛，血虚无瘀者应慎用。
人参果,人头七、口口箭,味甘，性温；归脾、胃经,强心补肾，生津止渴，补脾健胃，调经活血。,神经衰弱，失眠头昏，烦躁口渴，不思饮食，月经不调。,植物,内服：煎汤，9-12g；或泡黄酒饮。,
川牛膝,牛膝、都牛膝、米心牛膝、家牛膝、肉牛膝、大牛膝、拐牛膝、甜牛膝、甜川牛膝、龙牛膝,味甘、微苦，性平；归肝、肾经,活血祛瘀，祛风利湿。,1、血瘀经闭、痛经及跌打损伤：川牛膝有活血祛瘀之功。  2、风湿腰膝疼痛，关节不利：川牛膝善于活血通络，祛风湿，利关节。  3、血淋，尿血：取川牛膝能利尿通淋、祛瘀。,植物,内服：煎汤，6-10g；或入丸、散；或泡酒。,孕妇及月经过多者禁服。
猕猴桃,藤梨、木子、猕猴梨《开宝本草》，羊桃《医心方》，阳桃《日用本草》，大零核、猴仔梨《福建民间草药》，大红袍《贵州民间方药集》，杨桃《江西草药》，绳梨、金梨、野梨《浙江民间常用草药》，山洋桃《贵州草药》，,中南及陕西、四川、江苏、安徽、浙江、江西、福建、贵州、云南,解热，止渴，健胃，通淋。,烦热，消渴，肺热干咳，消化不良，湿热黄疸，石淋，痔疮。,味酸、甘，性寒。入胃、肝、肾经,内服：煎汤，30-60g；或生食，或榨汁饮。,脾胃虚寒者慎服。
桑黄,桑上寄生、桑臣、树鸡、胡孙眼、桑黄菰、桑黄菇、针层孔菌、梅树菌。,味微苦，性寒。归肝、肾经,活血，止血，化饮，止泻。,用于血崩，血淋，脱肛泻血，带下，经闭，症瘕积聚，癖饮，脾虚泄泻。,无毒（《药性论》）,内服：煎汤，6-15g；或入丸、散。外用：研末调敷。,
白鹇,鹎雉、白鹎、白雉、越禽、银鸡、银雉,味甘，性平,补气，健脾，益肺。,脾胃虚弱，食欲不振，食后饱胀，大便溏泄，虚劳发热，咳嗽。,无毒,内服：水煮，50-100g，食肉饮汁。,
紫菀,青菀、紫葥、返魂草根、夜牵牛、紫菀茸、关公须,味苦、辛、甘，性微温；归肺经,润肺化痰止咳。,主要用于咳嗽有痰、肺痈、胸痹及小便不通等。 ,植物,内服：煎汤，4.5-10g；或入丸、散。,阴虚干咳者慎服。
断肠草,胡蔓藤、狗闹花、大炮叶、大茶药、钩吻、娥篓亮（布朗族名）、娥罗冷（傣族名）、奢树（基诺族名）、纳窝补（拉祜族名）、爪朵留（苗族名）,全株：味辛、苦，性温；根：味苦、辛，性温,全株：祛瘀除湿，活血散瘀，杀虫止痒。,1、全株：皮肤湿疹，恶疮肿毒，顽癣，跌打损伤，骨折瘀肿，风湿关节炎。 2、根：风湿骨痛，疮疖，搽癣。 3、叶：关节炎。,有大毒,外用适量。泡酒或煎水外搽，或粗粉加猪油外搽。,此药只能外用。
香薷,香菜、香葇、香戎、石香葇、石香薷、香茸、紫花香薷、蜜蜂草、香薷草、细叶香薷、小香薷、小叶香薷、香草、满山香、青香薷,味辛，性微温；归肺、脾、胃经,发汗解表，化湿和中，利水消肿。,1、风寒感冒：本品辛温发散，入肺经能发汗解表而散寒；其气芳香，入脾胃又能化湿和中而祛暑，多用于风寒感冒而兼脾胃湿困。  2、水肿脚气：本品辛散温通，外能发汗以散肌表之水湿，又能宣肺气启上源，通畅水道，以利尿退肿，多用于水肿而有表证者。,植物,内服：煎汤，3-9g。用于发表，量不宜过大，且不宜久煎；用于利水消肿，量宜稍大，且须浓煎。,1、性温，凡外感风热或温热、实热内炽、阴虚火旺等证不宜单味药长期服用。
紫参,石见穿、石打穿、月下红,味苦、辛，性平；归肝、脾经,活血化瘀，清热利湿，散结消肿。,月经不调，痛经，经闭，崩漏，便血，湿热黄疸，热毒血痢，淋痛，带下，风湿骨痛，瘰疬，疮肿，乳痈，带状疱疹，麻风，跌打伤肿。,植物,内服：煎汤，6-15g；或绞汁。外用：适量，捣敷。,
乌梅,梅实、熏梅、桔梅肉、梅、春梅,味酸、涩，性平；归肝、脾、肺、大肠经,敛肺止咳，涩肠止泻，安蛔止痛，生津止渴。,1、肺虚久咳：本品味酸而涩，其性收敛，入肺经能敛肺气，止咳嗽。  2、久泻，久痢：本品酸涩入大肠经，有良好的涩肠止泻痢作用，为治疗久泻、久痢之常用药。  3、蛔厥腹痛，呕吐：蛔得酸则静，本品极酸，具有安蛔止痛，和胃止呕的功效，为安蛔之良药。  4、虚热消渴：本品至酸性平，善能生津液，止烦渴。  5、本品炒炭后，涩重于酸，收敛力强，能固冲止漏，可用于崩漏不止，便血等；外敷能消疮毒，可治胬肉外突、头疮等。,植物,内服：煎服，3-10g，大剂量可用至30g。外用：适量，捣烂或炒炭研末外敷。止泻止血宜炒炭用。,不宜多食久食。
蛇菰,角菌、铺地开花《全国中草药汇编》,味苦、涩，性寒,清热解毒，凉血止血。,咳嗽吐血，血崩，痔疮肿痛，指疔。,植物,内服：9-18g。外用：适量，捣烂敷患处。,脾胃虚寒者禁服。
灯笼果,狗葡萄、醋栗、山樱桃,味辛，性温,解表。,用于感冒。,植物,内服：煎汤，9-15g。,
贝母,Fritillaria spp.,全国多地均有分布,川贝母：清热润肺、化痰止咳、散结消痈。,川贝母：用于肺热燥咳、干咳少痰、阴虚劳嗽、痰中带血、瘰疬、乳痈、肺痈。,味苦、甘，性微寒，归肺、心经,川贝母：3-10g；研粉冲服，一次1-2g。,川贝母：尚不明确。
七星鱼,乌棒鱼、张公鱼、花财鱼、花鲤鱼,味甘，性微温,滋阴、壮筋骨。,阴虚，四肢无力。,动物,内服：煮食，100-200g。,
青黛,靛花、青蛤粉、青缸花、蓝露、淀花、靛沫花,味咸，性寒；归肝、肺经,清热解毒，凉血消斑，清肝泻火，定惊。,1、温毒发斑，血热吐衄：本品寒能清热，咸以入血，故有清热解毒，凉血，止血，消斑之效。  2、咽痛口疮，火毒疮疡：本品有清热解毒，凉血消肿之效。  3、咳嗽胸痛，痰中带血：本品咸寒，主清肝火，又泻肺热，且能凉血止血。  4、暑热惊痫，惊风抽搐：本品咸寒，善清肝火，祛暑热，有息风止痉之功。 ,植物,内服1.5-3g。本品难溶于水，一般作散剂冲服，或入丸剂服用。外用：适量。,胃寒者慎用。
隔山消,隔山牛皮消、隔山撬、白首乌、白何首乌、山瓜蒌,味甘、苦，性平；归脾、胃、肝经,消食健胃，理气止痛。,脾虚食少、消化不良、脾胃气滞、脘腹胀痛、痢疾等。 ,植物,内服：煎汤，9-15g；外用：鲜品适量，捣敷。,过量服用易引起中毒。
龙胆草,陵游、草龙胆、龙胆、山龙胆、苦龙胆草、地胆草、胆草、四叶胆,味苦，性寒。归肺、肝经,清热燥湿，泻肝胆火。,用于清热燥湿，泻肝胆火。用于湿热黄疸，阴肿阴痒，带下，湿疹瘙痒，肝火目赤，耳鸣耳聋，胁痛口苦，强中，惊风抽搐。,植物,3-6g。,
空青,杨梅青,味甘、酸，性寒；归肝经,凉肝清热，明目去翳，活血利窍。,目赤肿痛，青盲，雀目，翳膜内障，中风口㖞，手臂不仁，头风，耳聋。,小毒,外用：研细，水飞，点眼。内服：研末，每次0.3-1g；或入丸、散。,内服宜慎。不宜多服、久服。
野荔枝,味涩、苦，性平。归肝、脾、大肠经,植物,清热解毒，收敛止血。,用于痢疾，外伤出血，骨折。,,内服：煎汤，9-15g。外用：适量，鲜品捣敷；或研末调敷。,
泽兰,虎兰、龙枣、小泽兰、虎蒲、地瓜儿苗、红梗草、风药、蛇王草、蛇王菊、捕斗蛇草、地环秧、地溜秧、甘露秧、草泽兰、麻泽兰、矮地瓜儿苗,味苦、辛，性微温；归肝、脾经,活血调经，祛瘀消痈，利水消肿。,主治月经不调，经闭，痛经，产后瘀血腹痛，疮痈肿毒，水肿腹水。,植物,内服：煎服，10-15g。外用：适量。,无瘀滞者慎用。
鸡子,鸡卵，鸡蛋,味甘、性平,滋阴润燥，养血安胎。,热病烦闷，燥咳声哑，目赤咽痛，胎动不安，产后口渴，小儿疳痢，疟疾，烫伤，皮肤瘙痒，虚人羸弱。,动物,内服：煮、炒，1-3枚；或生服；或沸水冲；或入丸剂。外用：取黄、白调敷。,1、孟诜：鸡子动风气，不可多食。
天山雪莲,雪荷花,味微苦，性温,有温肾助阳，祛风胜湿，通经活血的作用。,用于风寒湿痹痛、类风湿性关节炎、小腹冷痛、月经不调。,植物,3-6g，水煎或酒浸服。外用适量。,
海螵蛸,乌鲗骨、乌贼鱼骨、乌贼骨、墨鱼骨、墨鱼盖,味咸、涩，性微温；归肝、肾经,收敛止血，涩精止带，制酸止痛，收湿敛疮。,主要用于肾失固藏而遗精滑精，肝肾不足，任带受损或脾虚湿聚，带脉失约而致带下清稀量多，冲任失摄，崩漏下血，脾胃虚寒，胃痛吐酸，湿疮湿疹，溃疡不敛等。,动物,内服：煎汤，10-30g；研末，1.5-3g。外用：研末撒；或调敷；或吹耳、鼻。,阴虚多热者不宜多服；久服易致便秘，可适当配润肠药同用。
乌灵参,乌苓参、雷震子《灌县志》，乌丽参、鸡（土从）蛋《四川中药材标准》，地炭棍、鸡茯苓（刘波《中国药用真菌》）,味甘，性平。入心、肝经,安神，止血，降血压。,失眠，心悸，吐血，衄血，高血压病，烫伤。,植物,内服：煎汤，3-10g。外用：适量，研末，麻油调敷。,孕妇忌用。
