药材,古籍,别名,性味归经,功用,药材简介,药剂1,药剂2,药剂3,药剂4,药剂5,药剂6,药剂7,药剂8,药剂9,药剂10,用法用量,注意事项
仙茅,《海药本草》,地棕、独茅、山党参、仙茅参、海南参,辛，热；有毒。归肾、肝、脾经。,补肾阳，强筋骨，祛寒湿,仙茅，中药名。为石蒜科，仙茅属植物仙茅草的根茎。具有温肾壮阳，祛寒除湿的功效。主治阳痿精寒，遗尿尿频，寒湿痹痛，筋骨痿软，腹痛冷泻等。,,,,,,,,,,,阴虚火旺者忌服。燥烈有毒，不宜久服。,
续断,《神农本草经》,川断、和尚头、川续断,苦、辛，微温。归肝、肾经,补肝肾，强筋骨，续折伤，止崩漏。,续断，中药名。为川续断科川续断属植物川续断的干燥根。具有补益肝肾，续筋健骨，通利血脉的功效。主治肝肾不足，腰膝酸痛，寒湿痹痛，崩漏下血，胎动不安，跌打损伤，筋骨折伤等。,续断配鹿茸,续断配龙骨,续断配杜仲,续断配制川乌,续断配艾叶,泰山磐石散,三痹汤,艾附暖宫丸,寿胎丸,,续断煎汁内服时，成人每天的常规用量为9~15克。或入丸、散剂。外用适量，研末敷。 酒续断多用于风湿痹痛，跌扑损伤，筋伤骨折；盐续断多用于腰膝酸软；止崩漏宜炒用。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,风湿热痹者忌服。
杜仲,《神农本草经》,杜仲、丝楝树皮、丝棉皮、棉树皮、胶树,味甘、辛，性温；归肝、肾经。,补肝肾，强筋骨，安胎。,杜仲，中药名。为杜仲科杜仲属植物杜仲的树皮。具有补肝肾，强筋骨，安胎的功效。主治肾虚腰痛及各种腰痛，胎动不安，习惯性堕胎。清明到夏至时间采集。,杜仲配牛膝,杜仲配补骨脂,杜仲配续断,青娥丸,杜仲丸,独活寄生汤,杜仲补腰合剂,杜仲降压片,,,杜仲煎汁内服时，成人每天常规用量为6~10克。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,炒用破坏其胶质，更利于有效成分煎出，故比生用效果好。本品为温补之品，阴虚火旺者慎用。
紫石英,《神农本草经》,萤石、氟石,甘，温。归肾、心、肺经。,温肾暖宫，镇心安神，温肺平喘。,紫石英，中药名。为卤化物类矿石紫石英的矿石。具有温肾助阳，镇心安神，温肺平喘的功效。主治肾阳亏虚，宫冷不孕，崩漏带下，心悸怔忡，虚烦不眠，肺寒气逆，痰多咳喘等。开矿采集。,,,,,,,,,,,阴虚火旺者不能摄精之不孕症及肺热气喘者忌用。,
胡芦巴,《嘉祐本草》,葫芦巴、苦豆、芦巴子、胡巴季豆、小木夏、香豆子,苦，温。归肾经。,温肾助阳，祛寒止痛。,胡芦巴，中药名。为豆科胡芦巴属植物胡芦巴-的成熟种子。具有温肾助阳，散寒止痛的功效。主治寒疝腹痛，腹泻胀痛，足膝冷痛，寒湿脚气，阳痿滑泄，精冷囊湿。,,,,,,,,,,,4.5-9克。,阴虚火旺或有湿热者慎服。
菟丝子,《神农本草经》,菟丝实、吐丝子、无娘藤米米、黄藤子、黄丝子,辛、甘，平。归肝、肾、脾经。,补益肝肾，固精缩尿，安胎，明目，止泻；外用消风祛斑。,菟丝子，中药名。为旋花科菟丝子属植物菟丝子的成熟种子。具有补肾固精养肝明目，止泻，安胎的功能。主治腰膝酸痛，阳痿遗精，遗尿尿频，肝肾不足，目暗不明，脾肾阳虚，便溏泄泻，胎动不安，妊娠漏血等。,菟丝子配熟地黄,菟丝子配附子,菟丝子配杜仲,菟丝子配五味子,菟丝子配天花粉,右归丸,左归丸,五子衍宗丸,七宝美髯丹,,菟丝子煎汁内服时，成人每天的常规用量为6～12克。生用或盐水炙用。 或入丸、散；外用适量，炒研调敷。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,本品虽为平补之药，但偏补阳，阴虚火旺、大便燥结、小便短赤者不宜服用。
补骨脂,《药性论》,破故纸、骨脂,辛、苦，温。归肾、脾经。,补肾壮阳，固精缩尿，纳气平喘，温脾止泻；外用消风祛斑。,补骨脂，中药名。为豆科补骨脂属植物补骨脂的成熟果实。具有补肾壮阳，固精缩尿，温脾止泻，纳气平喘的功效。主治肾虚阳痿、腰膝冷痛，肾虚遗精、遗尿、尿频，脾肾阳虚、五更泄泻，肾不纳气，虚寒喘咳。,补骨脂配杜仲,补骨脂配桑寄生,补骨脂配五味子,补骨脂配肉桂,补骨脂配罂粟壳,四神丸,七宝美髯丹,补骨脂丸,补骨脂散,,补骨脂煎汁内服时，成人每天的常规用量为6～10克；外用20%～30%酊剂涂患处。 无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药物的吸收和药效的发挥。 盐补骨脂，可引药入肾，增强了温补肾脏阳气、纳气、止泻的作用。治疗阳痿遗精，遗尿尿频，腰膝冷痛，肾虚作喘，黎明前腹泻可以使用盐补骨脂。,1.性温热，凡外感热病、实热内炽，阴虚火旺、血虚血热等证不宜单味药大量长期服用。大便燥结者忌服；因热而遗精、尿频者忌服；内热烦渴、眩晕气虚者忌服；膀胱癌患者忌用。 2.功善补虚，泄泻属湿热阻滞者忌用；喘咳属实邪壅肺者忌用；腰膝冷痛，阳痿遗精等属阴虚阳亢者忌用。 3.胃出血、急性胃炎者忌大量内服。 4.有兴奋子宫平滑肌的作用，孕妇、先兆流产者忌用。
冬虫夏草,《本草从新》,夏草冬虫、虫草、冬虫草,甘，平。归肺、肾经,补肾益肺，止血化痰。,冬虫夏草，中药名。为麦角菌科虫草属真菌冬虫夏草菌子座及其寄主蝙蝠蛾科昆虫蝙蝠蛾等幼虫体菌核的复合体。具有补肾益肺，止血化痰的功效。主治阳痿遗精、腰膝酸痛、久咳虚喘、劳嗽痰血。 大断草是冬虫夏草的一种形式，它是完整的冬虫夏草断裂后形成的。冬虫夏草是一种特殊的复合体，由蝙蝠蛾科幼虫和一种真菌子与底座相连形成，具有深黄色的外观和较高的营养价值。大断草是从2根/克、2.5根/克的虫草里面挑选出来的，其大小不是很均匀，但品相很好，性价比高。大断草的营养价值在短期内与整个冬虫夏草没有区别，但储存不当可能会导致营养成分流失，降低其功效。大断草的价格相对较低，可以结合自身需求选择合适的治疗方法。,冬虫夏草配北沙参,冬虫夏草配补骨脂,冬虫夏草配枸杞子,冬虫夏草配阿胶,固本强身胶囊,洛布桑胶囊,麝珠明目滴眼液,阳痿,,,冬虫夏草煎汁内服时，成人每天的常规用量为3～9克。 或与鸡、鸭炖服，用量3～9克；或入丸、散、酒剂。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,有表邪者不宜用。
海马,《本草拾遗》,甘、咸，温。归肝、肾经。,温肾壮阳，散结消肿。,海马，中药名。为海龙科海马属动物线纹海马、刺海马、大海马、三斑海马或小海马海沮的干燥体。具有补肾壮阳，调气活血的功效。主治阳痿不举，遗精遗尿，肾虚作喘，癥瘕积聚，跌打损伤，疔疮肿毒等。,,,,,,,,,,,,孕妇及阴虚火旺者忌服。,
鹿茸,《神农本草经》,斑龙珠,甘、咸，温。归肾、肝经。,补肾壮阳，益精血，强筋骨，调冲任，托疮毒。,鹿茸，中药名。为鹿科鹿属动物梅花鹿或马鹿等雄鹿头上尚未骨化而带茸毛的幼角。具有补肾阳，益精血，强筋骨，调冲任，托疮毒的功效。主治肾阳虚衰，精血不足证，肾虚骨弱，腰膝无力或小儿五迟，妇女冲任虚寒，崩漏带下，疮疡久溃不敛，阴疽疮肿内陷不起。鹿茸于清明后40-60天5-7月截取，过时则角化而不是茸了。,鹿茸配人参,鹿茸配熟地黄,鹿茸配阿胶,鹿茸配肉苁蓉,鹿茸配山药,十补丸,人参鹿茸丸,鹿茸丸,小鹿茸丸,,鹿茸煎汁内服时，成人每天的常规用量为1~2克。 鹿茸研末冲服。可入丸、散，也可浸酒服。外用时适量，磨汁涂、研末撒或调敷。 熟用偏于补肾益精，生用偏于散血消肿。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,服用本品宜从小量开始，缓缓增加，不可骤用大量，以免阳升风动，头晕目赤，或伤阴动血。凡发热者均当忌服。
蛤蚧,《雷公炮炙论》,对蛤蚧,咸，平。归肺、肾经。,补肺益肾，纳气定喘，助阳益精。,蛤蚧，中药名。为壁虎科壁虎属动物蛤蚧除去内脏的干燥体。具有补肺益肾，纳气定喘，助阳益精的功效。主治肺肾不足，久咳虚喘，劳嗽咳血，肾阳不足，精血亏虚，阳痿遗精等。,,,,,,,,,,,煎服，3～6g；多入丸散或酒剂。,风寒或实热咳喘忌服。
肉苁蓉,《神农本草经》,大芸、大云、肉松蓉、纵蓉、地精、金笋,甘、咸，温。归肾、大肠经。,补肾阳，益精血，润肠通便。,肉苁蓉，中药名。为列当科肉苁蓉属植物肉苁蓉带鳞叶的肉质茎。具有补肾助阳，润肠通便的功效。主治肾阳亏虚，精血不足，阳痿早泄，宫冷不育，腰膝酸痛，痿软无力，肠燥津枯便秘。,,,,,,,,,,,煎服，6～10g。,阴虚火旺及便溏泄泻者忌服，热结便秘忌服。
淫羊藿,《神农本草经》,仙灵脾、刚前,辛、甘，温。归肝、肾经。,补肾壮阳，强筋骨，祛风湿。,淫羊藿，中药名。为小檗科淫羊藿属植物淫羊藿、箭叶淫羊藿、巫山淫羊藿、朝鲜淫羊藿、柔毛淫羊藿等的茎叶。具有补肾壮阳，强筋健骨，祛风除湿的功效。主治肾阳不足，阳痿遗精，遗尿尿频，风湿痹痛，骨痿瘫痪等。,,,,,,,,,,,煎服，6～10g。,1.性温，凡外感热病、实热内炽，阴虚火旺、血虚血热等证不宜单味药大量长期服用；水痘患者不宜用。 2.有降低血压的作用，低血压患者不宜单味药大量长期服用，注射液应慎用。 3.能降低血糖，低血糖患者不宜大量长期服用。 4.所含淫羊藿苷有雄性激素样作用，婴幼儿忌大量长期服用。 5.有中枢神经抑制作用，婴幼儿、老年人不宜大量长期服用。 6.孕妇不宜大量长期服用。
锁阳,《本草衍义补遗》,金锁阳、琐阳、不老药、锈铁棒、地毛球、黄骨狼、锁严子、羊锁不拉,甘，温。归肝、肾、大肠经。,补肾阳，益精血，润肠通便。,锁阳，中药名。为锁阳科锁阳属植物锁阳的肉质茎。具有补肾助阳，润肠通便的功效。主治肾阳虚衰，阳痿精冷，肝肾不足，足痿筋软，肠燥便秘等。,锁阳配补骨脂,锁阳配熟地黄,锁阳配桑螵蛸,锁阳配当归,锁阳配火麻仁,虎潜丸,锁阳固精丸,肾康宁片,,,锁阳煎汁内服时，成人每天的常规用量为5～10克。可入丸、散。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,阴虚火旺，脾虚泄泻，实热便秘者忌服。
阳起石,《神农本草经》,白石、羊起石、石生、阳石、起阳石,咸，温。归肾经。,温肾壮阳。,阳起石，中药名。为硅酸盐类矿物阳起石或阳起石石棉的矿石。具有温肾壮阳的功效。主治阳痿不举，宫冷不孕。开矿采集。,阳起石配鹿茸,阳起石配吴茱萸,阳起石丸（《和剂局方》）,阳起石丸（《普济方》引《孟氏诜诜方》）,阳起石丸《济生方》,强龙益肾胶囊,回春胶囊,参茸黑锡丸,,,多入丸、散剂服，用量为4.5～9克。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,阴虚火旺者禁服，不宜久服。
海狗肾,《药性论》,腽肭脐,咸，热。归肾经。,暖肾壮阳，益精补髓。,海狗肾，中药名。为海狮科海狗属动物海狗或海豹科海豹属动物海豹的雄性外生殖器。具有暖肾壮阳，益精填髓的功效。主治肾阳虚衰，阳痿精冷，精少不育等。,,,,,,,,,,,研末服，每次1～3g，每日2～3次。,阴虚火旺，骨蒸劳嗽当忌服。
紫河车,《本草拾遗》,胎盘、胞衣、混沌皮、混元丹,甘、咸，温。归肺、肝、肾经。,温肾补精，益气养血。,紫河车，中药名。为人科健康产妇的胎盘。具有补精助阳，养血益气的功效。主治不孕少乳，阳痿遗精，腰酸耳鸣，消瘦乏力，面色萎黄，骨蒸劳热，肺肾虚喘等。 人类胎盘毕竟有限，一般人不可能经常食用，大量利用人胎盘作为加工原料是不现实的。羊胎盘是母羊孕育胎儿时候负责母体和胎儿血液和养分交换的组织，能够产生非常多活性物质。而羊胎盘是自然界中最为接近人类胎盘的组织，所以能够很好的被吸收。,,,,,,,,,,,1.本品性温，凡外感风热或温热、实热内炽，阴虚火旺、血虚血热等证不宜单味药大量服用。 2.本品属血肉有情之品，功善滋补，适用于元气虚弱者，凡病症属实证者人气滞血瘀等不宜单味药大量长期服用。 3.本品含有肾素样升压物质，具有升高血压的作用，高血压患者不宜大量长期服用。 4.本品有性激素样作用，婴幼儿不宜大量长期服用；乳腺炎患者不宜服用；痤疮患者忌用。 5.孕妇不宜大剂量长期服用。,
沙苑子,《增订伪药条辨》,沙苑蒺藜、沙苑蒺藜子、潼蒺藜、沙蒺藜、夏黄草。,甘，温。归肝、肾经。,补肾助阳，固精缩尿，养肝明目。,沙苑子，中药名。为豆科黄芪属植物扁茎黄芪的成熟种子。具有补肾固精，养肝明目的功效。主治肾虚腰痛、阳痿遗精、遗尿尿频、白带过多、目暗不明、头昏目花。,沙苑子配芡实,沙苑子配杜仲,沙苑子配决明子,沙苑子配枸杞子,沙苑子配石菖蒲,金锁固精丸,三子地黄汤,益肾灵颗粒（胶囊）,,,沙苑子煎汁内服时，成人每天常规用量为9～15克。 或入丸、散，或熬膏。 益肝明目多生用，补肾固精、缩尿止遗多炒用。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,1.性温，凡外感热病、实热内炽，阴虚火旺、血虚血热等证不宜单味药大量长期服用。 2.有降低血压的作用，低血压患者不宜大量长期服用。 3.可以明显地抑制血小板聚积，出血性疾病患者以及有出血倾向者不宜大量长期服用。 4.有收缩子宫的作用，孕妇不宜大量长期服用。
蛤蟆油,味甘、咸，性平；归肺、肾经,补肾益精，养阴润肺。,"蛤蟆油，中药名。为脊索动物门两栖纲蛙科动物中国林蛙蛤市蟆的干燥输卵管。东北林蛙是无尾目蛙科林蛙属两栖动物，别称林蛙、蛤士蟆、雪蛤。具有补肾益精，养阴润肺的功效。主治病后体虚，神衰盗汗，劳嗽咳血，阳痿宫冷等。秋末进入冬眠期,易于捕捉，且蛤蟆油于体内较多。",内服：煎服，3-10g。或入丸、散剂。,外感初起及食少便溏者慎用。,,,,,,,,,,,,1、治神经衰弱，产后、病后虚弱，慢性胃病，胃下垂，身体消瘦不复：干哈士蟆油3-6g。清水250ml，泡1夜，第二日再加冰糖适量炖服，每日1次，连服10-20d。（《山东药用动物》）2、治肺痨吐血：哈蟆油5g，白木耳2g，白糖适量。加水蒸服，每日服2次。（《中国动物药》）3、治老年慢性气管炎：哈士蟆油2副。蒸熟1次服。10-15d为1个疗程。（《全国中草药汇编》）
益智仁,益智子、摘艼子、益智,味辛，性温；归脾、肾经,温脾止泻摄涎，暖肾缩尿固精。,益智仁，中药名。为姜科山姜属植物益智的果实。具有温脾止泻摄涎，暖肾缩尿固精的功效。主治脾胃虚寒，呕吐，泄泻，腹中冷痛，口多唾涎，肾虚遗尿，尿频，遗精，白浊。,内服：煎汤，3-9g；或入丸、散。,,,,,,,,,,,1、《本草经疏》：“凡呕吐由于热而不因于寒；气逆由于怒而不因于虚；小便余沥由于水涸精亏内热，而不由于肾气虚寒；泄泻由于湿火暴注，而不由于气虚肠滑，法并禁之。” 2、《本草备要》：“因热而崩、浊者禁用。” 3、《本经逢原》：“血燥有火，不可误用。” 4、阴虚火旺者禁服。,
核桃仁,虾蟆、胡桃穰、胡桃肉、胡桃仁、胡桃,味甘，性温；归肾、肺、大肠经,补益肺肾，纳气定喘，润肠通便。,核桃仁，中药名。为胡桃科胡桃属植物胡桃果实的核仁。具有补益肺肾，纳气定喘，润肠通便的功效。主要用于腰膝酸痛，遗精遗尿，虚寒喘咳，肠燥便秘等。,内服：煎汤，9-12g；单昧嚼服，10-30g；或入丸、散。外用：研末凋敷。,,,,,,,,,,,痰火积热，阴虚火旺，以及大便溏泄者禁服。不可与浓茶同服。,
韭菜子,《滇南本草》,韭菜籽、起阳籽、韭子、韭菜仁,味辛、甘，性温；归肝、肾经,补肝肾，暖腰膝，助阳，固精。,韭菜子，中药名，为百合科韭菜属植物韭菜的干燥成熟种子。具有补肝肾，暖腰膝，助阳，固精的功效。主治阳痿、遗精、遗尿、小便频数、腰膝酸软、冷痛、白带过多。,,,,,,,,,,,阴虚火旺者慎服。,
白芍,《神农本草经》,白芍药、金芍药,苦、酸，微寒。归肝、脾经,养血调经，敛阴止汗，柔肝止痛，平抑肝阳。,白芍，中药名。为毛茛科芍药属植物芍药的根。具有养血敛阴，柔肝止痛，平抑肝阳的功效。主治肝血亏虚，月经不调，肝脾不和，胸胁脘腹疼痛，四肢挛急疼痛，肝阳上亢，头痛眩晕等。白芍生长须3-4年才能开挖。,白芍配甘草,白芍配龟甲,白芍配石决明,白芍配木香,白芍配枸杞子,芍药汤,四物汤,四逆散,桂枝汤,,白芍煎汁内服时，成人每天的常规用量为6～15克。或入、丸散。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。 平肝抑阳、敛阴止汗宜生用，养血调经、柔肝止痛宜炒用或酒炒用。,1.白芍属寒凉之品，凡外感风寒、内伤生冷，脾胃虚寒、肾阳虚衰等证不宜单味药大量服用。妇人月经不调属虚寒者不宜单味药大量服用；气虚自汗，阳虚汗出者忌用。 2.白芍酸寒收敛，伤寒病在上焦之阳结、疹子忌用。 3.白芍有中枢神经抑制作用，昏迷患者忌用；婴幼儿、老年人不宜大量长期服用。 4.孕妇产后不宜单味药大量服用。 5.不宜与藜芦同用。
熟地黄,《本草拾遗》,熟地,甘，微温。归肝、肾经。,补血滋阴，益精填髓,熟地黄，中药名。为玄参科地黄属植物地黄的块根，经加工蒸晒而成。具有补血滋阴，益精填髓的功效。主治血虚萎黄，月经不调，崩漏下血，肾阴不足，腰膝酸软，盗汗遗精，精血两亏，头晕目眩，须发早白等。,熟地黄配山茱萸,熟地黄配山药,熟地黄配白芍,熟地黄配细辛,熟地黄配桑寄生,四物汤,六味地黄丸,地黄饮子,左归丸,,熟地黄煎汁内服时，成人每天的常规用量9~15克。 熟地黄可入丸、散，或熬膏、浸酒。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,1.熟地黄性温，故外感温热、火热内炽等实热证者不宜大量长期服用；糖尿病患者忌单味药大量长期服用；鼻咽癌、甲状腺癌、乳腺癌患者忌用。 2.熟地黄腻滞碍胃，故气机郁滞痰多，脾虚腹胀，食少便溏者不宜单味药大量长期服用，心绞痛患者慎用；单纯性肥胖症患者忌单味药大量长期服用。 3.熟地黄有降低血糖的作用，故使用胰岛素或低血糖患者，不宜大量长期服用。 4.补血滋阴宜与健脾药同用，止血炭用。 5.熟地黄质地滋腻，内服有泥膈碍胃之弊，故宜与陈皮、砂仁等同用，以健胃行滞，促进消化吸收，增强药力。 6.砂仁拌熟地黄，可减少滋腻之性。 7.忌用铜、铁器煎药。
何首乌,《日华子本草》,首乌、生首乌、地精、赤敛、陈知白、红内消、马肝石、疮帚、山奴、山哥、山伯、山翁、山精、夜交藤根、黄花污根、血娃娃、小独根、田猪头、铁称陀、赤首乌、山首乌、药首乌、何相公。,苦、甘、涩，微温。归肝、心、肾经。,制何首乌：补肝肾，益精血，乌须发，强筋骨，化浊降脂。生何首乌：解毒，消痈，截疟，润肠通便。,何首乌，中药名。为蓼科蓼属植物何首乌的块根。具有解毒，消痈，截疟，润肠通便的功效。主治疮痈，瘰疬，风疹瘙痒，久疟体虚，肠燥便秘。,,,,,,,,,,,煎服，制何首乌6～12g，生何首乌3～6g。,大便溏泄及有湿痰者慎服。忌铁器。
当归,《神农本草经》,干归、马尾当归、秦归、马尾归、云归、西当归、岷当归,甘、辛，温。归肝、心、脾经,补血活血，调经止痛，润肠通便。,当归，中药名。为伞形科当归属植物当归的根。具有补血调经，活血止痛，润肠通便的功效。主治血虚萎黄，月经不调，经闭痛经，血虚、血滞、血寒诸痛，跌打损伤，风湿痹痛，痈疽疮疡，肠燥便秘等。,当归配白芍,当归配川芎,当归配肉苁蓉,当归配火麻仁,当归配熟地黄,当归补血汤,当归四逆汤,活络效灵丹,生化汤,,当归煎汁内服时，成人每天的常规用量为6～12克。 用于补虚扶弱，多饭前服用。无论饭前还是饭后服，服药与进食都应间隔0.5-1小时，以免影响药效的发挥与食物的消化。 用于活血通经时，适合使用酒当归。用于补血时，适合生用。,热盛出血患者禁服，湿盛中满及大便溏泄者慎服。
龙眼肉,《神农本草经》,龙眼、龙眼肉、元肉、益智、比目、木弹、骊珠、燕卵、鲛泪、圆眼、蜜脾、桂圆、桂圆肉、元眼肉、龙眼干。,甘，温。归心、脾经。,补益心脾，养血安神。,龙眼肉，中药名。为无患子科龙眼属植物龙眼的假种皮。具有补益心脾，养血安神的功效。主治思虑过度，劳伤心脾，惊悸怔忡，失眠健忘。,,,,,,,,,,,煎服，9～15g。,内有痰火及湿滞停饮者忌服。
阿胶,《神农本草经》,傅致胶、盆覆胶、驴皮胶,甘，平。归肺、肝、肾经。,补血，止血，滋阴润燥。,阿胶，中药名。为马科驴属动物驴的皮，经漂泡去毛后熬制而成的胶块。具有补血，滋阴，润肺，止血的功效。主治血虚诸证，出血证，肺阴虚燥咳，热病伤阴，心烦失眠，阴虚风动，手足瘈疭。,阿胶配黄连,阿胶配桑白皮,阿胶配龟甲,阿胶配人参,阿胶配麦冬,补肺阿胶汤,胶艾汤,清燥救肺汤,大定风珠,,阿胶一般需要先加黄酒烊化，再加入到汤剂中服用（即烊化兑服），成人每天的常规用量为3～9克。 阿胶用于润肺、清肺化痰宜蛤粉炒，止血宜蒲黄炒，滋阴补血多生用。 炒阿胶可入汤剂或丸散。阿胶因入丸散剂不宜粉碎，可用蛤粉烫成珠后，便于粉碎，并且可以改善因滋腻影响脾胃消化功能的副作用。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,本品黏腻，有碍消化，故脾胃虚弱者慎用。
北沙参,《本草汇言》,海沙参、银条参、莱阳参,甘、微苦，微寒。归肺、胃经。,养阴清肺，益胃生津。,北沙参，中药名。为伞形科珊瑚菜属植物北沙参的根。具有养阴润肺，益胃生津的功效。主治肺热燥咳，痰少咽干，热病伤津，口燥咽干，烦热口渴等。,北沙参配麦冬,北沙参配知母,北沙参配杏仁,北沙参配川贝母,北沙参配桑叶,一贯煎,秋燥感冒颗粒,蜜炼川贝枇杷膏,,,北沙参煎汁内服时，成人每天的常规用量为5～12克。 北沙参还可切片生用或入丸、散、膏剂。 多饭前服用，无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药物的吸收和药效的发挥。,风寒作嗽及肺胃虚寒者忌服。
玉竹,《神农本草经》,葳蕤、荧、委萎、女萎,甘，微寒。归肺、胃经。,养阴润燥，生津止渴。,玉竹，中药名。 为百合科黄精属植物玉竹的根茎。 具有养阴润燥，生津止渴的功效。 主治燥热咳嗽，津伤口渴，阴虚外感，头痛身热等。,玉竹配沙参,玉竹配生地黄,玉竹配薄荷,玉竹配党参,玉竹配白薇,加减葳蕤汤,益胃汤,罗汉果玉竹颗粒,,,玉竹煎汁内服时，成人每天的常规用量为6～12克。 玉竹还可以熬膏、浸酒，或者入丸剂、散剂。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,痰湿气滞者禁服，脾虚便溏者慎服。
百合,《神农本草经》,韭番、重迈、中庭、重箱、摩罗、强瞿、百合蒜,甘，微寒。归心、肺经。,养阴润肺，清心安神。,百合，中药名。为百合科百合属植物百合或细叶百合的肉质鳞叶。具有养阴润肺，清心安神的功效。主治阴虚燥咳，劳嗽咳血，阴虚有热之失眠心悸及百合病心肺阴虚内热证。,,,,,,,,,,,煎服，6～12g。清心安神宜生用，润肺止咳宜蜜炙用。,风寒咳嗽及中寒便溏者忌服。
黄精,《名医别录》,老虎姜、鸡头参、黄鸡菜、节节高、仙人余粮、黄金,甘，平。归脾、肺、肾经,补气养阴，健脾，润肺，益肾。,黄精，中药名。为百合科黄精属植物黄精、多花黄精或滇黄精的干燥根茎。具有养阴润肺，补脾益气，滋肾填精的功效。主治阴虚劳嗽，肺燥咳嗽，脾虚乏力，食少口干，消渴；肾亏腰膝酸软，阳痿遗精，耳鸣目暗，须发早白，体虚羸瘦，风癞癣疾。,,,,,,,,,,,煎服，9～15g。,中寒泄泻，痰湿痞满气滞者禁服。
女贞子,《神农本草经》,女贞实、冬青子、爆格蚤、白蜡树子、鼠梓子,甘、苦，凉。归肝、肾经。,滋补肝肾，明目乌发。,女贞子，中药名。为木犀科女贞属植物女贞的成熟果实，具有滋补肝肾，清热明目的功效。主治腰膝酸痛，须发早白，阴虚内热，骨蒸劳热，盗汗遗精，头晕目眩，目暗不明，健忘耳鸣等。,女贞子配桑椹,女贞子配菟丝子,益龄精,精乌胶囊,二至丸,女贞子糖浆,腰膝软弱，疼痛，拘紧僵硬,肝肾精血亏虚，须发早白，脱发,,,女贞子煎汁内服时，成人每天的常规用量为6～12克。 本品主要成分齐墩果酸不易溶于水，因此以入丸剂为佳。 酒制可增强滋补肝肾的作用，并减轻苦寒的程度，缓和其滑肠作用。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,脾胃虚寒及肾阳不足者禁服。效力和缓宜少量久服。
枸杞子,《神农本草经》,红枸杞、苟起子、甜菜子、杞子、红青椒,甘，平。归肝、肾经。,滋补肝肾，益精明目。,枸杞子，中药名。为茄科枸杞属植物宁夏枸杞的成熟果实。具有滋补肝肾，益精明目的功效。主治肝肾阴虚及早衰证。,枸杞子配熟地黄,枸杞子配何首乌,枸杞子配当归,枸杞子配菊花,杞菊地黄丸,一贯煎,右归饮,暖肝煎,,,枸杞子煎汁内服时，成人每天的常规用量为5～15克。 枸杞子可以生食，也可以入丸、散、膏、酒剂。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,脾虚便溏者慎服。
